UserID,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video ID,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType
35.0,64.0,Female,Vietnam,39675.0,0.0,True,Students,Rural,TikTok,284.0,5.0,4244.0,Entertainment,6.0,6486.0,9.0,27.0,17.0,,,6.0,4.0,Entertainment,Tablet,iOS,2:00 PM,8.0,2.0,At school,Mobile Data
36.0,invalid,Other,Mexico,93997.0,1.0,False,Students,Urban,TikTok,220.0,1.0,9581.0,Jokes/Memes,27.0,8112.0,2.0,9.0,21.0,37.0,,3.0,7.0,Procrastination,Smartphone,Android,9:00 PM,5.0,5.0,At home,Wi-Fi
37.0,20.0,Male,United States,37015.0,0.0,,,Rural,TikTok,127.0,17.0,6508.0,invalid,1.0,8771.0,8.0,5.0,48.0,47.0,,3.0,7.0,Entertainment,Tablet,Android,9:00 PM,5.0,5.0,At home,Mobile Data
38.0,54.0,Male,Philippines,70057.0,1.0,False,Students,Urban,YouTube,200.0,2.0,7820.0,Jokes/Memes,4.0,3804.0,7.0,5.0,15.0,90.0,,5.0,5.0,Boredom,Smartphone,iOS,5:00 PM,7.0,3.0,At school,Wi-Fi
39.0,24.0,Male,Barzil,52591.0,1.0,True,Cashier,Rural,YouTube,51.0,8.0,8594.0,Jokes/Memes,19.0,4878.0,6.0,,15.0,,,3.0,7.0,Habit,Smartphone,Android,9:00 PM,5.0,5.0,At home,Mobile Data
40.0,38.0,Male,Germany,29833.0,0.0,False,Students,Rural,YouTube,51.0,7.0,2654.0,ASMR,12.0,2368.0,5.0,28.0,1.0,22.0,,5.0,5.0,Boredom,Tablet,Android,5:00 PM,7.0,3.0,Commuting,Mobile Data
41.0,26.0,Male,Pakistan,,0.0,True,Waiting staff,,Instagram,285.0,15.0,5612.0,Comedy,15.0,8093.0,4.0,20.0,24.0,39.0,,6.0,4.0,Boredom,Smartphone,Android,2:00 PM,8.0,2.0,At work,Mobile Data
42.0,56.0,Male,invalid,52972.0,1.0,False,Students,Urban,TikTok,26.0,5.0,6128.0,ASMR,3.0,3932.0,7.0,,12.0,87.0,,6.0,4.0,Habit,Smartphone,Android,2:00 PM,8.0,2.0,,Mobile Data
43.0,35.0,Other,Indonesia,,1.0,True,Cashier,Rural,TikTok,292.0,2.0,3924.0,Life Hacks,23.0,5608.0,3.0,24.0,10.0,58.0,,8.0,2.0,Entertainment,Tablet,MacOS,,10.0,0.0,At home,Mobile Data
44.0,21.0,Female,Pakistan,61800.0,1.0,False,Waiting staff,Rural,Instagram,267.0,7.0,8460.0,Gaming,27.0,6635.0,8.0,28.0,46.0,30.0,,3.0,7.0,Entertainment,Tablet,Windows,9:00 PM,5.0,5.0,At school,Mobile Data
45.0,42.0,Other,Philippines,25347.0,0.0,,Labor/Worker,Urban,YouTube,72.0,8.0,5913.0,Gaming,28.0,6395.0,2.0,4.0,42.0,18.0,,6.0,4.0,invalid,Smartphone,iOS,2:00 PM,8.0,2.0,,Mobile Data
46.0,31.0,Female,Pakistan,79063.0,1.0,False,Waiting staff,Rural,Instagram,71.0,7.0,5131.0,Comedy,26.0,6101.0,,20.0,42.0,18.0,,6.0,4.0,Procrastination,Smartphone,Windows,2:00 PM,8.0,2.0,At home,Mobile Data
47.0,26.0,Male,Vietnam,22643.0,0.0,True,Labor/Worker,Rural,YouTube,109.0,7.0,5440.0,Trends,20.0,9292.0,2.0,18.0,31.0,74.0,,5.0,,Procrastination,Smartphone,MacOS,5:00 PM,7.0,3.0,At school,Mobile Data
48.0,43.0,,Japan,60785.0,1.0,True,Students,Rural,TikTok,28.0,14.0,,Pranks,28.0,9862.0,9.0,25.0,11.0,39.0,,3.0,7.0,Entertainment,Tablet,Android,9:00 PM,5.0,5.0,At work,Mobile Data
49.0,19.0,Female,India,38681.0,0.0,True,Students,Rural,Facebook,26.0,18.0,6450.0,Trends,8.0,5531.0,5.0,,16.0,94.0,,6.0,4.0,Boredom,Tablet,Android,2:00 PM,8.0,2.0,At school,Wi-Fi
50.0,37.0,Male,United States,70026.0,1.0,True,Students,Urban,YouTube,255.0,6.0,1726.0,Life Hacks,11.0,4970.0,8.0,4.0,9.0,26.0,,5.0,5.0,Procrastination,Smartphone,iOS,5:00 PM,7.0,3.0,At home,Mobile Data
51.0,45.0,Female,United States,35892.0,0.0,False,Waiting staff,Rural,TikTok,260.0,4.0,9305.0,Entertainment,16.0,6344.0,3.0,14.0,47.0,71.0,,5.0,5.0,Entertainment,Tablet,Windows,5:00 PM,7.0,3.0,At home,Wi-Fi
52.0,64.0,Other,Mexico,67299.0,1.0,True,driver,Rural,TikTok,90.0,10.0,7523.0,Entertainment,9.0,8408.0,7.0,7.0,14.0,7.0,,6.0,4.0,Entertainment,Tablet,iOS,2:00 PM,8.0,2.0,At home,Mobile Data
53.0,24.0,,Germany,37073.0,0.0,False,Students,,Facebook,48.0,18.0,4785.0,Pranks,3.0,375.0,2.0,26.0,19.0,69.0,,6.0,4.0,Boredom,invalid,MacOS,2:00 PM,8.0,2.0,Commuting,Mobile Data
,61.0,Male,Vietnam,50682.0,1.0,False,driver,Rural,TikTok,45.0,,9473.0,Trends,5.0,7887.0,8.0,8.0,31.0,65.0,,5.0,5.0,Procrastination,,Android,5:00 PM,7.0,3.0,At work,Mobile Data
55.0,25.0,Other,India,34289.0,0.0,False,Cashier,Rural,TikTok,206.0,16.0,1233.0,Life Hacks,20.0,1609.0,7.0,24.0,9.0,46.0,,6.0,4.0,Habit,Smartphone,iOS,2:00 PM,8.0,2.0,At home,Mobile Data
56.0,64.0,Male,Japan,,0.0,False,Manager,Rural,YouTube,167.0,invalid,8809.0,Life Hacks,14.0,2939.0,5.0,16.0,36.0,18.0,,3.0,7.0,Boredom,Smartphone,Android,9:00 PM,5.0,5.0,At home,Wi-Fi
57.0,52.0,Male,Indonesia,68330.0,,False,Labor/Worker,Rural,YouTube,213.0,6.0,,Jokes/Memes,28.0,4062.0,4.0,20.0,,13.0,,5.0,,Entertainment,Smartphone,Android,5:00 PM,7.0,3.0,At school,Mobile Data
58.0,31.0,Male,United States,86707.0,1.0,True,Waiting staff,Rural,Facebook,205.0,5.0,7447.0,Entertainment,26.0,,1.0,15.0,26.0,25.0,,5.0,5.0,Habit,,Android,5:00 PM,7.0,3.0,At home,Mobile Data
59.0,34.0,Male,invalid,97454.0,1.0,False,Waiting staff,Rural,Facebook,225.0,3.0,4617.0,Vlogs,15.0,6578.0,5.0,,8.0,8.0,,3.0,7.0,Entertainment,Tablet,Android,9:00 PM,5.0,5.0,At school,Mobile Data
60.0,53.0,Male,Japan,,1.0,False,driver,Urban,TikTok,294.0,12.0,4726.0,,6.0,7851.0,9.0,26.0,24.0,74.0,,3.0,7.0,Habit,Smartphone,iOS,,5.0,,At home,Mobile Data
61.0,,Female,Germany,70601.0,,True,driver,Rural,YouTube,205.0,15.0,3678.0,Entertainment,27.0,3679.0,4.0,17.0,8.0,32.0,,5.0,5.0,Entertainment,Smartphone,iOS,5:00 PM,7.0,3.0,At home,
62.0,21.0,Other,United States,97465.0,1.0,True,Waiting staff,Urban,Facebook,161.0,10.0,6288.0,Jokes/Memes,26.0,7540.0,9.0,22.0,19.0,17.0,,5.0,5.0,Procrastination,Smartphone,Android,,7.0,3.0,Commuting,Wi-Fi
63.0,19.0,Male,United States,22539.0,0.0,True,Waiting staff,Rural,Facebook,23.0,19.0,8481.0,Entertainment,4.0,9488.0,invalid,22.0,47.0,79.0,,6.0,4.0,Habit,Computer,Android,2:00 PM,8.0,2.0,At school,Mobile Data
64.0,23.0,Male,Vietnam,42669.0,0.0,False,Students,Rural,Instagram,155.0,16.0,1410.0,ASMR,8.0,,4.0,22.0,48.0,,,6.0,4.0,Boredom,Computer,iOS,2:00 PM,8.0,2.0,Commuting,Wi-Fi
65.0,59.0,Male,United States,90968.0,1.0,False,Teacher,Rural,,66.0,11.0,8206.0,Life Hacks,19.0,3996.0,9.0,12.0,30.0,48.0,,5.0,5.0,Entertainment,Smartphone,Android,5:00 PM,7.0,3.0,At school,Mobile Data
66.0,21.0,Other,India,40644.0,0.0,False,Teacher,Rural,TikTok,220.0,8.0,257.0,Life Hacks,27.0,4786.0,4.0,18.0,22.0,63.0,,5.0,5.0,invalid,Smartphone,MacOS,5:00 PM,7.0,3.0,At home,Mobile Data
67.0,46.0,Other,India,38745.0,0.0,True,Cashier,Rural,YouTube,277.0,3.0,1722.0,Gaming,5.0,5695.0,5.0,24.0,9.0,40.0,,6.0,4.0,,Smartphone,Android,2:00 PM,8.0,2.0,Commuting,Mobile Data
68.0,35.0,Male,,48228.0,0.0,False,Students,Rural,Facebook,219.0,7.0,,Trends,13.0,9347.0,,14.0,44.0,84.0,,6.0,4.0,Boredom,Smartphone,MacOS,2:00 PM,8.0,2.0,At home,Mobile Data
69.0,43.0,Male,Vietnam,54521.0,1.0,False,Artist,Rural,Instagram,26.0,7.0,4954.0,Life Hacks,16.0,6998.0,1.0,15.0,48.0,15.0,,3.0,7.0,Habit,Smartphone,MacOS,9:00 PM,,5.0,At home,Wi-Fi
invalid,,Female,Mexico,46928.0,0.0,False,,Rural,YouTube,295.0,,2991.0,Gaming,1.0,invalid,1.0,15.0,4.0,99.0,,6.0,4.0,Habit,Computer,Android,2:00 PM,8.0,2.0,At home,Mobile Data
71.0,51.0,,Vietnam,38322.0,0.0,False,Students,Rural,Facebook,212.0,2.0,1196.0,Pranks,13.0,6764.0,9.0,,37.0,6.0,,5.0,,Entertainment,Tablet,iOS,invalid,7.0,3.0,At school,Mobile Data
72.0,27.0,Male,Indonesia,77714.0,1.0,True,Labor/Worker,invalid,Instagram,108.0,10.0,4560.0,Life Hacks,,8976.0,9.0,16.0,8.0,94.0,,3.0,7.0,Boredom,Smartphone,Windows,9:00 PM,5.0,5.0,At home,Wi-Fi
73.0,53.0,Male,,82292.0,1.0,False,Engineer,Rural,Facebook,288.0,,4366.0,Comedy,11.0,9273.0,4.0,5.0,1.0,63.0,,,4.0,,Computer,Windows,2:00 PM,8.0,invalid,At school,Mobile Data
74.0,31.0,Female,Germany,49055.0,0.0,True,Waiting staff,Urban,YouTube,218.0,9.0,1245.0,Jokes/Memes,,1614.0,2.0,2.0,28.0,8.0,,3.0,7.0,Boredom,Smartphone,Android,9:00 PM,5.0,5.0,At home,Mobile Data
75.0,48.0,Other,Philippines,62891.0,1.0,False,driver,Rural,YouTube,invalid,16.0,6767.0,Jokes/Memes,8.0,4555.0,9.0,20.0,6.0,95.0,,3.0,7.0,Procrastination,Computer,MacOS,,5.0,5.0,At school,Mobile Data
76.0,32.0,Male,United States,26588.0,0.0,True,Labor/Worker,invalid,YouTube,297.0,19.0,,Jokes/Memes,25.0,2416.0,4.0,28.0,47.0,32.0,,3.0,7.0,,Smartphone,Android,9:00 PM,5.0,5.0,At home,Mobile Data
77.0,25.0,Female,,26304.0,0.0,False,driver,Rural,TikTok,261.0,18.0,1307.0,Pranks,8.0,7288.0,6.0,25.0,36.0,,,3.0,7.0,Procrastination,Smartphone,Android,9:00 PM,5.0,5.0,Commuting,Wi-Fi
78.0,31.0,Male,India,27345.0,0.0,True,Labor/Worker,Rural,Facebook,274.0,9.0,2403.0,Life Hacks,24.0,6862.0,1.0,9.0,11.0,52.0,,5.0,5.0,Procrastination,Tablet,Android,5:00 PM,7.0,3.0,,Mobile Data
79.0,40.0,Other,Japan,49300.0,0.0,False,Labor/Worker,Rural,TikTok,280.0,16.0,497.0,Vlogs,28.0,3653.0,9.0,22.0,5.0,79.0,,6.0,4.0,Boredom,Smartphone,iOS,2:00 PM,8.0,2.0,At school,Wi-Fi
80.0,57.0,Male,United States,44259.0,0.0,True,driver,Rural,YouTube,197.0,13.0,3400.0,,14.0,6639.0,5.0,27.0,24.0,,,3.0,7.0,Habit,Tablet,Windows,9:00 PM,5.0,5.0,At school,Mobile Data
81.0,38.0,Male,United States,35352.0,,False,driver,Rural,Instagram,223.0,10.0,910.0,Gaming,13.0,496.0,3.0,9.0,47.0,13.0,,6.0,,Habit,Smartphone,Android,2:00 PM,8.0,2.0,At home,Mobile Data
82.0,33.0,Male,,53365.0,1.0,True,Labor/Worker,Urban,Facebook,292.0,14.0,373.0,Jokes/Memes,3.0,504.0,4.0,4.0,invalid,24.0,,5.0,5.0,Entertainment,Smartphone,Android,5:00 PM,7.0,3.0,At school,Mobile Data
83.0,62.0,Male,Philippines,39446.0,0.0,False,Students,Rural,TikTok,220.0,12.0,6237.0,Pranks,4.0,7699.0,1.0,15.0,20.0,40.0,,6.0,4.0,invalid,Smartphone,MacOS,invalid,8.0,2.0,Commuting,
84.0,35.0,Male,India,22336.0,0.0,True,Waiting staff,Urban,Facebook,85.0,invalid,1345.0,Entertainment,27.0,5733.0,9.0,11.0,28.0,14.0,,5.0,5.0,Boredom,Smartphone,Android,5:00 PM,7.0,3.0,,Mobile Data
invalid,64.0,Male,Barzil,82032.0,,False,Labor/Worker,Urban,Instagram,157.0,7.0,8516.0,Jokes/Memes,20.0,8055.0,8.0,1.0,13.0,92.0,,3.0,7.0,Boredom,Tablet,iOS,9:00 PM,5.0,5.0,At home,Wi-Fi
,41.0,Other,India,95415.0,1.0,True,Waiting staff,Rural,TikTok,222.0,15.0,2432.0,Life Hacks,15.0,,4.0,18.0,5.0,75.0,,3.0,7.0,Entertainment,Smartphone,iOS,9:00 PM,5.0,5.0,,Wi-Fi
87.0,43.0,Female,Indonesia,27521.0,0.0,False,Engineer,Rural,YouTube,118.0,16.0,4671.0,Trends,15.0,5688.0,2.0,29.0,30.0,70.0,,3.0,7.0,Habit,Computer,iOS,9:00 PM,5.0,5.0,invalid,Wi-Fi
88.0,42.0,Other,United States,,1.0,True,Manager,Rural,TikTok,138.0,8.0,2785.0,Life Hacks,27.0,invalid,9.0,1.0,1.0,62.0,,3.0,7.0,Entertainment,Computer,MacOS,9:00 PM,,5.0,At home,
89.0,62.0,Female,United States,43481.0,0.0,False,Students,Rural,Facebook,19.0,10.0,9408.0,Jokes/Memes,21.0,4364.0,4.0,8.0,22.0,89.0,,3.0,7.0,invalid,Smartphone,MacOS,9:00 PM,5.0,5.0,At work,Mobile Data
90.0,,Female,Germany,38474.0,0.0,True,Waiting staff,Rural,Facebook,56.0,4.0,1696.0,Jokes/Memes,13.0,6042.0,9.0,25.0,18.0,61.0,,3.0,7.0,Entertainment,Smartphone,Android,9:00 PM,5.0,5.0,At school,Wi-Fi
91.0,46.0,Male,United States,66760.0,1.0,False,Waiting staff,Rural,Facebook,105.0,19.0,1908.0,Jokes/Memes,,1477.0,3.0,16.0,46.0,1.0,,,5.0,,Tablet,Android,5:00 PM,7.0,3.0,At school,Mobile Data
92.0,32.0,Male,India,75718.0,1.0,True,Students,Rural,Facebook,112.0,19.0,,Jokes/Memes,28.0,4960.0,7.0,26.0,5.0,89.0,,3.0,7.0,Boredom,Smartphone,iOS,9:00 PM,5.0,5.0,Commuting,Wi-Fi
93.0,62.0,Female,India,64629.0,1.0,False,Students,Rural,YouTube,155.0,15.0,781.0,Trends,25.0,2397.0,7.0,28.0,31.0,66.0,,3.0,7.0,Habit,Smartphone,Android,9:00 PM,5.0,5.0,At school,Mobile Data
,18.0,Male,India,65232.0,1.0,True,driver,invalid,invalid,36.0,14.0,1020.0,Vlogs,10.0,8301.0,4.0,22.0,6.0,32.0,,3.0,7.0,Boredom,Tablet,iOS,9:00 PM,5.0,,At work,Wi-Fi
95.0,42.0,Other,Vietnam,87169.0,1.0,True,Manager,Rural,YouTube,229.0,1.0,1404.0,Life Hacks,29.0,8841.0,2.0,18.0,27.0,13.0,,6.0,4.0,Habit,Computer,iOS,2:00 PM,8.0,2.0,At work,Wi-Fi
96.0,24.0,,Pakistan,70669.0,1.0,True,Students,Rural,,27.0,16.0,1427.0,Jokes/Memes,12.0,6194.0,9.0,22.0,25.0,33.0,,8.0,2.0,Habit,Smartphone,Android,8:00 AM,10.0,0.0,At home,Wi-Fi
97.0,26.0,Male,United States,98021.0,1.0,True,Students,Urban,YouTube,176.0,10.0,8856.0,ASMR,14.0,,4.0,,29.0,32.0,,6.0,4.0,Boredom,Smartphone,iOS,2:00 PM,8.0,2.0,At home,Wi-Fi
98.0,41.0,Female,United States,89184.0,1.0,False,Waiting staff,Urban,Facebook,91.0,19.0,5869.0,Jokes/Memes,1.0,7730.0,8.0,,28.0,56.0,,5.0,,Entertainment,Tablet,Android,5:00 PM,7.0,3.0,At work,Mobile Data
99.0,18.0,Male,India,67945.0,1.0,True,Engineer,Rural,Facebook,81.0,3.0,11.0,ASMR,14.0,1499.0,2.0,19.0,16.0,24.0,,3.0,7.0,Entertainment,Smartphone,,9:00 PM,5.0,5.0,At work,Wi-Fi
100.0,61.0,Female,Mexico,33140.0,0.0,False,Waiting staff,Urban,Facebook,263.0,,6331.0,Pranks,14.0,7235.0,8.0,25.0,12.0,91.0,,6.0,4.0,Boredom,Tablet,iOS,2:00 PM,8.0,2.0,At home,Wi-Fi
101.0,invalid,Male,Germany,34357.0,0.0,False,Engineer,Rural,TikTok,171.0,9.0,9231.0,Vlogs,8.0,595.0,5.0,18.0,20.0,4.0,,5.0,5.0,Boredom,Tablet,Android,5:00 PM,7.0,3.0,At work,Wi-Fi
102.0,,Male,Germany,88673.0,1.0,False,Waiting staff,Rural,Instagram,47.0,18.0,2826.0,Jokes/Memes,16.0,978.0,7.0,27.0,18.0,88.0,,3.0,7.0,Boredom,Smartphone,iOS,invalid,5.0,5.0,Commuting,Mobile Data
,28.0,Male,India,85633.0,,False,Engineer,Urban,Facebook,210.0,11.0,7465.0,Jokes/Memes,14.0,730.0,7.0,5.0,34.0,23.0,,3.0,7.0,Entertainment,Smartphone,Android,,5.0,5.0,At school,Wi-Fi
104.0,34.0,Female,Japan,96943.0,1.0,False,Engineer,Rural,TikTok,209.0,16.0,3004.0,Gaming,1.0,56.0,9.0,27.0,23.0,29.0,,3.0,7.0,Habit,Tablet,Windows,9:00 PM,5.0,5.0,At work,Mobile Data
105.0,25.0,Female,India,98258.0,1.0,True,driver,Urban,Facebook,264.0,2.0,9268.0,Gaming,16.0,2243.0,3.0,2.0,45.0,98.0,,3.0,7.0,Habit,Smartphone,Android,9:00 PM,5.0,5.0,At home,Mobile Data
106.0,52.0,Male,,32924.0,0.0,False,Labor/Worker,Rural,Facebook,188.0,12.0,7196.0,,18.0,5879.0,4.0,7.0,27.0,21.0,,6.0,4.0,invalid,Smartphone,iOS,2:00 PM,,2.0,At home,Mobile Data
